Product;Category;Price
Puré de Tomate DIA 520 Gr.;Conservas; 389,00
Arvejas secas remojadas DIA 300 Gr.;Conservas; 305,00
Durazno en Mitades DIA 820 Gr.;Conservas; 898,26
Atún Desmenuzado en Aceite DIA 170 Gr.;Conservas; 399,00
Lomitos de Atún en Aceite DIA 240 Gr.;Conservas; 1.449,00
Duraznos en Trozos DIA 820 Gr.;Conservas; 855,49
Duraznos Light en Mitades DIA 800 Gr.;Conservas; 898,26
Lomitos de Atún Al Natural DIA 240 Gr.;Conservas; 1.449,00
Arvejas Secas Remojadas DIA 340 Gr.;Conservas; 325,00
Lentejas Remojadas DIA 340 Gr.;Conservas; 525,00
Sardinas En Aceite Marbella 160 Gr.;Conservas; 1.398,87
Coctel 4 Frutas DIA 820 Gr.;Conservas; 1.062,04
Granos de Choclo Amarillo DIA 300 Gr.;Conservas; 542,78
Caballa Al Agua Marbella 380 Gr.;Conservas; 2.240,42
Sardinas en Lata Pennisi 125 Grs.;Conservas; 947,22
Filet De Merluza Al Natural Terre & Ocean 160 Gr;Conservas; 1.321,79
Pickles Castell 140 Gr.;Conservas; 903,57
Puré de Tomate La Campagnola 520 Gr.;Conservas; 372,54
Caballa al natural DIA 380 Gr.;Conservas; 1.999,05
Caballa en Aceite DIA 380 Gr.;Conservas; 1.999,05
Tomate Triturado DIA 950 Gr.;Conservas; 862,98
Salsa Pomarola Tipo Casera Knorr 340 Gr.;Conservas; 390,68
Tomate Triturado DIA 950 Gr.;Conservas; 968,91
Tomate Perita Canale Clásico 400 Gr.;Conservas; 799,00
Choclo Amarillo Entero Tarragona 340 Gr.;Conservas; 658,41
Lentejas Secas Remojadas Dia 300 Gr;Conservas; 452,09
Salsa Pizza Casera Knorr 340 Gr.;Conservas; 476,09
Choclo Blanco DIA Cremoso 300 Gr.;Conservas; 336,68
Jardinera Inalpa 300 Gr.;Conservas; 391,08
Salsa Pomarola Menos Sodio Knorr 340 Gr.;Conservas; 420,08
Tomate Triturado Silvia En Botella 970 Gr.;Conservas; 1.005,02
Choclo Amarillo Sin Sal Dia 300 Gr;Conservas; 695,00
Salsa para Pizza Knorr 200 Grs.;Conservas; 208,30
Jardinera Sin Sal Dia 300 Gr.;Conservas; 585,00
Arvejas secas remojadas Tarragona 340 Gr.;Conservas; 361,38
Salsa Caesar Dos Anclas 350 Gr.;Conservas; 1.214,10
Arvejas Secas Remojadas Sin Sal Dia 300 Gr;Conservas; 376,67
Salsa Lista Arcor Pizza 340 Gr.;Conservas; 303,00
Jardinera de Hortaliza y Legumbre Doña Pupa 340 Gr.;Conservas; 586,72
Puré de Tomate DIA sabor Albahaca y Ajo 520 Gr.;Conservas; 426,31
Pure de Tomate Mora 520 Gr.;Conservas; 387,80
Arvejas Amarillas Inalpa 300 Gr.;Conservas; 348,67
Choclo Amarillo Cremoso Montenevi 340 Gr.;Conservas; 387,42
Salsa Bolognesa Proteina Vegetal Knorr 340 Gr.;Conservas; 452,77
Puré de Tomate Montenevi 520 Gr.;Conservas; 549,00
Salsa Pomodoro Con Zapallo Knorr 340 Gr.;Conservas; 452,77
Salsa de Tomate Knorr Deshidratado 60 Gr.;Conservas; 327,26
Salsa Guiso y Arroz Knorr 340 Gr.;Conservas; 452,77
Porotos Negros Secos Doña Pupa 340 Gr.;Conservas; 500,09
Puré de Tomate DIA Sabor Ajo Y Cebolla 520 Gr.;Conservas; 443,36
Porotos Cranberry Inalpa 300 Gr.;Conservas; 474,69
Poroto Alubia Monte Nevi 350 Gr;Conservas; 437,29
Salsa Lista La Campagnola Filetto 340 Gr.;Conservas; 367,00
Salsa Lista La Campagnola Pizza 340 Gr.;Conservas; 357,11
Puré De Tomate Canale 520 Gr.;Conservas; 785,03
Puré de Tomate Alco 520 Gr.;Conservas; 724,55
Tomate Pelado Perita La Campagnola 400 Gr.;Conservas; 338,21
Arvejas Verdes Remojadas Doña Pupa 350 Gr.;Conservas; 390,68
Aceite de Girasol Pureza 1,5 Lts.;Aceites-y-Aderezos; 999,00
Aceite de Girasol DIA 1,5 Lts.;Aceites-y-Aderezos; 999,00
Mayonesa Natura 500 Ml.;Aceites-y-Aderezos; 538,56
Mayonesa Natura 250 Ml;Aceites-y-Aderezos; 295,00
Aceite de Girasol Cañuelas 1,5 Lts.;Aceites-y-Aderezos; 779,25
Aceite de Girasol Cocinero 900 Ml.;Aceites-y-Aderezos; 487,73
Aceite de Girasol DIA 900 Ml.;Aceites-y-Aderezos; 977,45
Sal Fina en Paquete Celusal 500 Gr.;Aceites-y-Aderezos; 341,21
Mayonesa Clásica Hellmann's Sin Tacc Doypack 475 Gr.;Aceites-y-Aderezos; 609,14
Mayonesa Natura 1 L.;Aceites-y-Aderezos; 1.167,68
Ketchup Clásico Hellmann's Doypack 250 Gr.;Aceites-y-Aderezos; 486,29
Mostaza Savora Original DoyPack 250 Gr.;Aceites-y-Aderezos; 343,80
Mostaza Natura 250 Gr.;Aceites-y-Aderezos; 289,87
Vinagre de Alcohol Menoyo 1 L.;Aceites-y-Aderezos; 320,24
Mayonesa De Ajo Hellmans 250 Gr;Aceites-y-Aderezos; 765,81
Mayonesa Sabor Ahumado Hellmans 250 Gr;Aceites-y-Aderezos; 765,81
Aceite de Girasol Pureza 900 Ml.;Aceites-y-Aderezos; 979,59
Aceite en Aerosol DIA 120 Gr.;Aceites-y-Aderezos; 809,00
Aceite De Oliva Extra Virgen Cocinero 500 Ml;Aceites-y-Aderezos; 3.251,25
Ketchup Natura 250 Gr.;Aceites-y-Aderezos; 354,33
Ajo Granulado Dia 25 Grs.;Aceites-y-Aderezos; 240,05
Provenzal La Parmesana 20 Gr.;Aceites-y-Aderezos; 440,31
Mayonesa Liviana Doy Pack Hellmann´s 475 Gr.;Aceites-y-Aderezos; 631,43
Aceite Oliva Virgen Extra Clasico Nucete 250 Ml;Aceites-y-Aderezos; 3.627,59
Pimentón La Parmesana 20 Gr.;Aceites-y-Aderezos; 526,08
Salsa Golf Danica 220 Ml.;Aceites-y-Aderezos; 413,36
Aceite de Girasol Cocinero Alto Oléico 900 Ml.;Aceites-y-Aderezos; 1.108,21
Mayonesa Clásica Hellmann's Sin Tacc Doypack 237 Gr.;Aceites-y-Aderezos; 367,97
Mayonesa Clásica Hellmann's Sin Tacc Doypack 950 Gr.;Aceites-y-Aderezos; 1.093,88
Sal Gruesa Celusal 1 Kg.;Aceites-y-Aderezos; 546,67
Adobo Para Pizza La Parmesana 20 Gr.;Aceites-y-Aderezos; 457,47
Aji Molido La Parmesana 20 Gr.;Aceites-y-Aderezos; 486,06
Pimienta Negra En Granos Dia 25 Gr;Aceites-y-Aderezos; 440,08
Vinagre de Alcohol DIA 1 Lt.;Aceites-y-Aderezos; 429,00
Mayonesa Liviana Hellmann´s Doy Pack 237 Gr.;Aceites-y-Aderezos; 377,44
Cebolla En Polvo Dia 25 Gr;Aceites-y-Aderezos; 386,73
Vegetales Deshidratados Knorr Pimiento-Morrón 75 Gr.;Aceites-y-Aderezos; 1.017,18
Aceite de Oliva Cocinero Extra Virgen Suave 500 Ml.;Aceites-y-Aderezos; 5.806,08
Pimienta Molida Negra La Parmesana 20 Gr.;Aceites-y-Aderezos; 703,36
Hummus con Aceite de Oliva sin TACC Kyros 230gr.;Aceites-y-Aderezos; 1.692,30
Vinagre de Alcohol Menoyo 500 Ml.;Aceites-y-Aderezos; 267,80
Cebolla Deshidratada Knorr 100 Gr.;Aceites-y-Aderezos; 630,03
Ketchup Kansas 465 Gr.;Aceites-y-Aderezos; 1.435,27
Hummus Instantaneo Natural Pop 105 Gr.;Aceites-y-Aderezos; 546,94
Mix de Especias Knorr Capresse 20 Gr.;Aceites-y-Aderezos; 302,94
Hummus Clásico Sin TACC Kyros 230gr;Aceites-y-Aderezos; 1.692,30
Mix de Especias Knorr Finas Hierbas 20 Gr.;Aceites-y-Aderezos; 326,40
Salsa de Soja Menoyo Tradicional 250 Gr.;Aceites-y-Aderezos; 661,34
Hummus con Pimentón Picante Sin TACC Kyros 230gr.;Aceites-y-Aderezos; 1.692,30
Salsa Caesar Recycled Kansas 370gr;Aceites-y-Aderezos; 2.527,40
Pimienta Molida Blanca La Parmesana 20 Gr.;Aceites-y-Aderezos; 834,88
Salsa Alioli Dos Anclas 340 Gr.;Aceites-y-Aderezos; 1.296,79
Aceite Girasol Alsamar 1,5 Lts.;Aceites-y-Aderezos; 1.538,89
Salsa Chimichurri Dos Anclas 375 Gr.;Aceites-y-Aderezos; 1.190,79
Pimienta Blanca En Grano Dia 25 Gr;Aceites-y-Aderezos; 646,79
Hellmanns Mayonesa Aderezo Vegano 500 Gr.;Aceites-y-Aderezos; 633,16
Aceite de Oliva Extra Virgen Lira 500 Ml.;Aceites-y-Aderezos; 7.201,35
Nuez Moscada La Parmesana 20 Gr.;Aceites-y-Aderezos; 1.275,19
Mayonesa Cañuelas 500 Gr.;Aceites-y-Aderezos; 1.233,79
Hummus Ajo Ahumado Kyros 230 Gr.;Aceites-y-Aderezos; 1.692,30
Vinagre de Manzana Menoyo 500 Ml.;Aceites-y-Aderezos; 440,33
Hummus Poroto Negro Kyros 230 Gr.;Aceites-y-Aderezos; 1.692,30
Mayonesa Vegana Not Mayo 400 Gr.;Aceites-y-Aderezos; 740,24
Aderezo a base de plantas Not Mayo Doy Pack 350 Gr.;Aceites-y-Aderezos; 740,24
Salsa Alioli Sueño Verde 200 Ml.;Aceites-y-Aderezos; 1.199,00
Nuez Moscada Molida DIA 25 Gr.;Aceites-y-Aderezos; 999,00
Mayonesa Danica 950 Gr;Aceites-y-Aderezos; 1.133,06
Aceite De Oliva Morixe Virgen 500 Ml.;Aceites-y-Aderezos; 4.656,36
Espinaca Deshidratada Knorr 50 Gr.;Aceites-y-Aderezos; 494,29
Mayonesa Light Menoyo sin tacc 470 Gr.;Aceites-y-Aderezos; 539,87
Aceite de Girasol Cocinero Alto Oléico 1,5 Lts.;Aceites-y-Aderezos; 1.740,71
Aderezo Balsámico Sueño Verde 200 Gr.;Aceites-y-Aderezos; 799,00
Aceite de Oliva Cocinero Extra Virgen Intenso 500 Ml.;Aceites-y-Aderezos; 5.806,08
Sal Entrefina DIA Parrillera 500 Gr.;Aceites-y-Aderezos; 165,16
Mayonesa Menoyo Original Sin Tacc 500 Gr.;Aceites-y-Aderezos; 559,60
Condimento para arroz DIA 25 Gr.;Aceites-y-Aderezos; 999,00
Salsa Barbacoa Hellmann's 400 Gr.;Aceites-y-Aderezos; 794,65
Hellmanns Ketchup Squeeze 400 Grs.;Aceites-y-Aderezos; 1.100,72
Mayonesa Hellmanns con Aceite de Palta DoyPack 242 Gr.;Aceites-y-Aderezos; 379,12
Vinagre de Manzana DIA 500 Ml.;Aceites-y-Aderezos; 273,77
Salsa Kansas Honey Mustard 455 Gr.;Aceites-y-Aderezos; 1.723,94
Mostaza Menoyo sin tacc 60 Gr.;Aceites-y-Aderezos; 90,21
Mayonesa Menoyo Original Sin Tacc 900 Ml.;Aceites-y-Aderezos; 1.105,12
Aderezo Pesto de Albahaca Sueño Verde 170 Gr.;Aceites-y-Aderezos; 2.699,00
Mayonesa Menoyo Original Sin Tacc 100 Gr.;Aceites-y-Aderezos; 152,47
Mayonesa Heinz 350 Gr.;Aceites-y-Aderezos; 712,14
Vinagre de Vino DIA 500 Ml.;Aceites-y-Aderezos; 271,49
Aderezo NotMayo Ajo NotCo 325 Gr.;Aceites-y-Aderezos; 1.006,39
Vinagre de Vino Menoyo 500 Ml.;Aceites-y-Aderezos; 404,26
Salsa Kansas Barbacoa 455 Gr.;Aceites-y-Aderezos; 1.723,93
Mostaza Sueño Verde con Miel 200 Ml.;Aceites-y-Aderezos; 1.399,00
Aderezo NotMayo Oliva NotCo 325 Gr.;Aceites-y-Aderezos; 1.006,39
Salsa Kansas Vinagreta 390 Gr.;Aceites-y-Aderezos; 1.723,94
Aderezo NotMayo Picante NotCo 325 Gr.;Aceites-y-Aderezos; 1.006,39
Salsa Kansas Vinagreta 390 Gr.;Aceites-y-Aderezos; 1.723,94
Aderezo Sueño Verde Coleslaw 200 Ml.;Aceites-y-Aderezos; 1.399,00
Hellmanns Mayonesa Oliva Doypack 475 Gr.;Aceites-y-Aderezos; 1.133,66
Aderezo Caesar Sueño Verde 200 Ml.;Aceites-y-Aderezos; 1.399,00
Salero Genser 300 Gr.;Aceites-y-Aderezos; 1.160,13
Mayonesa DIA 250 Ml.;Aceites-y-Aderezos; 333,26
Hellmanns Mayonesa Tipo Casera 232 Gr.;Aceites-y-Aderezos; 530,45
Orégano Menoyo 50 Gr.;Aceites-y-Aderezos; 1.499,00
Salsa Hellmann's Barbacoa Doypack 250 Gr.;Aceites-y-Aderezos; 441,09
Pimenton Extra Menoyo 25 Gr.;Aceites-y-Aderezos; 650,00
CHIMICHURRI 50 GR;Aceites-y-Aderezos; 89,00
KETCHUP KANSAS 465GR;Aceites-y-Aderezos; 1.435,28
Fideos Penne Rigate Lucchetti 500 Grs.;Pastas-secas; 421,69
Fideos Knorr Tirabuzon 500 Gr.;Pastas-secas; 419,26
Fideos Spaghetti Cuquets 500 Gr.;Pastas-secas; 549,00
Fideos Spaghetti Dia 500 Gr;Pastas-secas; 473,62
Fusilli Garbanzo & Alubia Wakas 250 Gr.;Pastas-secas; 1.912,11
Fusilli Alubi&Quinoa Wakas 250 Gr.;Pastas-secas; 1.912,11
Fideos Spaghetti DIA 500 Gr.;Pastas-secas; 649,00
Fideos Knorr Coditos 500 Gr.;Pastas-secas; 419,26
Fideos Mostachol Cuquets 500 Gr.;Pastas-secas; 549,00
Fideos Tirabuzón Cuquets 500 Gr.;Pastas-secas; 549,00
Fideos Codito Dia 500 Gr;Pastas-secas; 473,62
Fideos Knorr Rigatti 500 Gr.;Pastas-secas; 419,26
Fideos Mostachol DIA 500 Gr;Pastas-secas; 476,90
Fideos Spaghetti N7 Luchetti 500 Gr.;Pastas-secas; 973,52
Fideos Fusilli Pureza Al Huevo de Sémola 500 Gr.;Pastas-secas; 618,29
Tirabuzon N 34 Luchetti 500 Gr.;Pastas-secas; 973,52
Fideos Guisero Tirabuzón DIA 500 Gr.;Pastas-secas; 649,00
Fideos Codito DIA 500 Gr.;Pastas-secas; 649,00
Fideos Rigatti Pureza Al Huevo de Sémola 500 Gr.;Pastas-secas; 618,29
Fideos Spaghetti N3 Matarazzo 500 Gr.;Pastas-secas; 1.053,54
Fideos Tirabuzon N28 Matarazzo 500 Gr.;Pastas-secas; 1.053,54
Tirabuzon 3 Vegetales N 34 Matarazzo 500 Gr.;Pastas-secas; 1.266,92
Fideos Mostachol N51 Luchetti 500 Gr.;Pastas-secas; 973,52
Mostachol N 52 Matarazzo 500 Gr.;Pastas-secas; 1.053,54
Fideos Tallarin N5 Matarazzo 500 Gr.;Pastas-secas; 1.053,54
Fideos Penne Rigate N45 Luchetti 500 Gr.;Pastas-secas; 973,52
Fideos Tallarín Don Vicente 500 Gr.;Pastas-secas; 1.649,84
Fideos Cabello de Angel DIA 500 Gr.;Pastas-secas; 999,00
Fideos Caseritos Don Vicente 500 Gr.;Pastas-secas; 1.649,84
Capelettini Giacomo Verdura 500 Gr.;Pastas-secas; 2.540,16
Capelettini Giacomo Jamón Y Queso 500 Gr.;Pastas-secas; 2.540,16
Arroz Largo Fino 00000 DIA 1 Kg.;Arroz-y-legumbres; 999,00
Arroz Largo Fino Molinos Ala 1 Kg.;Arroz-y-legumbres; 643,25
Arroz Largo Fino Molinos Ala 500 Gr.;Arroz-y-legumbres; 364,94
Arroz Largo Fino 0000 DIA 1 Kg.;Arroz-y-legumbres; 1.799,00
Arroz Parboil Molinos Ala 1 Kg.;Arroz-y-legumbres; 739,73
Arroz Largo Fino Vanguardia 1Kg.;Arroz-y-legumbres; 1.065,54
Arroz Largo Fino Federal 1 Kg;Arroz-y-legumbres; 1.100,00
Arroz Integral DIA 1 Kg.;Arroz-y-legumbres; 1.330,56
Arroz Largo Fino 0000 Dia 500 Gr.;Arroz-y-legumbres; 999,00
Arroz Largo Fino Bolsa Luchetti 500 Gr.;Arroz-y-legumbres; 722,01
Arroz Doble Carolina Gallo 500 Gr.;Arroz-y-legumbres; 1.333,58
Arroz Parboil Molinos Ala 500 Gr.;Arroz-y-legumbres; 400,39
Arroz Parboil Bolsa Luchetti 1 Kg.;Arroz-y-legumbres; 1.745,95
Garbanzos Egran 400gr;Arroz-y-legumbres; 1.025,81
Garbanzos Montenevi 340 Gr.;Arroz-y-legumbres; 468,45
Arroz Carnaroli Gallo Oro 1 Kg.;Arroz-y-legumbres; 1.293,58
Lentejas Montenevi 340 Gr.;Arroz-y-legumbres; 538,78
Risotto Pronto Primavera Gallo 240 Gr.;Arroz-y-legumbres; 2.000,38
Porotos Alubia Egran 500gr;Arroz-y-legumbres; 1.100,39
Arroz Preparado Gallo Queso 240 Gr.;Arroz-y-legumbres; 594,01
Arvejas Partidas Egran 400gr;Arroz-y-legumbres; 1.025,81
Maiz pelado blanco Egran 400gr;Arroz-y-legumbres; 744,13
Mix De Semillas Genser Multisemillas 150 Gr.;Arroz-y-legumbres; 730,20
Mix De Semillas Genser Ensaladas Y Sopas 150 Gr.;Arroz-y-legumbres; 730,20
Mix De Semillas Genser Desayuno 150 Gr.;Arroz-y-legumbres; 730,20
Arroz Monovarietal Corto Molinos Ala 1 Kg.;Arroz-y-legumbres; 1.750,34
Lentejas Secas Remojadas Doña Pupa 350 Gr.;Arroz-y-legumbres; 388,96
Arroz Shangrila Largo Fino 1 Kg.;Arroz-y-legumbres; 1.450,31
Semillas de Chía Enteras 100 Gr.;Arroz-y-legumbres; 1.399,00
Mix de Semillas La Sanjuanita 100 Gr.;Arroz-y-legumbres; 999,00
Semillas de Girasol peladas La Sanjuanita;Arroz-y-legumbres; 999,00
Pan Dulce Cuquets Con Chips De Chocolate 400 Gr.;Panaderia; 1.149,00
Pionono Dia 150 Gr.;Panaderia; 1.147,91
Pan Dulce Cuquets con Frutas 400 Gr.;Panaderia; 1.149,00
Pionono DIA Salado 150 Gr.;Panaderia; 1.147,91
Pan Dulce Con Frutas Bagley 400 Gr.;Panaderia; 2.781,45
Budin Cuquets Vainilla con Chips de Chocolate 170 Gr.;Panaderia; 664,07
Pan Dulce Vainilla Con Chips Dia 500 Gr.;Panaderia; 1.836,45
Pan Dulce DIA con Frutas 500 Gr.;Panaderia; 1.749,00
Budín Marmolado Dia 250 Gr.;Panaderia; 1.395,82
Budin Chocolate Dia 250 Gr.;Panaderia; 1.395,82
Budín Cuquets Marmolado 170 Gr.;Panaderia; 664,07
Budín Con Chips de Chóclate Dia 250 Gr.;Panaderia; 1.395,82
Pionono Tradicional 150 Gr.;Panaderia; 683,55
Budín Vainilla Dia 250 Gr.;Panaderia; 1.395,82
Budín Naranja Delicius 250 Gr.;Panaderia; 1.395,82
Pan Dulce DIA Sin Frutas 500 Gr.;Panaderia; 1.749,00
Budín Relleno de Dulce de Leche Delicious 250 Gr.;Panaderia; 1.395,82
Budín Cuquets con Frutas 170 Gr.;Panaderia; 664,07
Panettone Con Chocolate 450 Gr.;Panaderia; 1.399,00
Pan Dulce Tradicional 450 Gr.;Panaderia; 1.399,00
Budin Cuquets Vainilla 170 Gr.;Panaderia; 664,07
Grisines Tosti con Semillas de Lino 100 Gr.;Panaderia; 705,00
Budín Con Frutas Dia 250 Gr.;Panaderia; 1.395,82
Pan Hamburguesa Sin Tacc Binfinit 120 Gr.;Panaderia; 2.600,00
Pan En Rodajas Sin Tacc Smams 200 Gr.;Panaderia; 2.000,00
Budin Vainilla Sin Tacc Smams 200 Gr.;Panaderia; 1.600,00
Budin De Vainilla Con Chips Smams 200 Gr.;Panaderia; 1.600,00
Flautita 80 Gr.;Panaderia; 86,28
Grisines Tosti sabor Pizza 100 Gr.;Panaderia; 705,00
Pan Campero BinFinit Sin Gluten y Sin Lactosa 190 Gr.;Panaderia; 811,45
Pan Dulce Dia Pannetone 700 Gr.;Panaderia; 2.781,45
Budin Marmolado 9 de Oro 220 Gr.;Panaderia; 670,00
Pan Dulce Deubel con Almendras 650 Gr.;Panaderia; 6.825,00
Pan Dulce Dia Con Chips De Chocolate 500 Gr.;Panaderia; 2.623,95
Budin Vainilla 9 De Oro 220 Gr.;Panaderia; 670,00
Pan Dulce DIA con Frutas y Almendras 700 Gr.;Panaderia; 5.248,95
Budín Smams Vainilla 250 Gr.;Panaderia; 1.903,85
Pan Dulce Deubel con Frutas 400 Gr.;Panaderia; 1.399,00
Pan de Molde Sin Tacc Binfinit Blanco 200 Gr.;Panaderia; 3.200,00
Pan Campero Sin Tacc Binfinit con Semillas 190 Gr.;Panaderia; 3.200,00
Pan Flauta x Un.;Panaderia; 86,28
Budín Ingles 160 Gr.;Panaderia; 599,00
Pan de molde Salvado Lactal 330 Gr.;Panaderia; 750,00
Pan de Hamburguesa Bimbo Artesano 240 Gr.;Panaderia; 792,00
Pan Rallado Mamá Cocina 500 Gr.;Panaderia; 295,76
Tostadas Light DIA Gruesas 200 Gr.;Panaderia; 511,66
Pan de molde Blanco Lactal 315 Gr.;Panaderia; 622,07
Pan de Hamburguesa DIA 4 Un. 210 Gr.;Panaderia; 670,00
Pan de molde Blanco Bimbo Artesano 500 Gr.;Panaderia; 1.530,00
Pan de molde Salvado DIA 330 Gr.;Panaderia; 828,00
Pan de Pancho Mendia 210 Gr.;Panaderia; 690,00
Pan de Hamburguesa Rey Oro Brioche 300 Gr. 4 Un.;Panaderia; 980,00
Pan de Molde Rey Oro Salvado 500 Gr.;Panaderia; 1.290,00
Pan de Hamburguesa Mendia 210 Gr.;Panaderia; 690,00
Pan Rallado Crunch Preferido 450 Gr;Panaderia; 823,35
Pan Lactal Familiar Mendia 600 Gr.;Panaderia; 1.700,00
